# RC circuit simulation output
 6.540 4.87566 5.06499 -0.000189336
 6.550 4.84549 5.06296 -0.000217465
 6.560 4.81594 5.06064 -0.000244707
 6.570 4.78711 5.05807 -0.000270955
 6.580 4.75912 5.05523 -0.000296106
 6.590 4.73209 5.05215 -0.000320061
 6.600 4.70611 5.04883 -0.000342725
 6.610 4.68129 5.0453 -0.000364009
 6.620 4.65773 5.04156 -0.000383831
 6.630 4.63552 5.03763 -0.00040211
 6.640 4.61474 5.03352 -0.000418777
 6.650 4.59549 5.02926 -0.000433765
 6.660 4.57784 5.02485 -0.000447015
 6.670 4.56185 5.02032 -0.000458475
 6.680 4.54759 5.01569 -0.000468101
 6.690 4.53511 5.01097 -0.000475854
 6.700 4.52447 5.00618 -0.000481705
 6.710 4.51571 5.00134 -0.00048563
 6.720 4.50886 4.99647 -0.000487614
 6.730 4.50394 4.99159 -0.00048765
 6.740 4.50099 4.98672 -0.000485737
 6.750 4.5 4.98188 -0.000481884
 6.760 4.50099 4.97709 -0.000476106
 6.770 4.50394 4.97237 -0.000468426
 6.780 4.50886 4.96773 -0.000458874
 6.790 4.51571 4.9632 -0.000447489
 6.800 4.52447 4.95879 -0.000434315
 6.810 4.53511 4.95452 -0.000419405
 6.820 4.54759 4.9504 -0.000402818
 6.830 4.56185 4.94647 -0.000384619
 6.840 4.57784 4.94272 -0.000364881
 6.850 4.59549 4.93917 -0.000343681
 6.860 4.61474 4.93585 -0.000321104
 6.870 4.63552 4.93276 -0.000297239
 6.880 4.65773 4.92991 -0.000272181
 6.890 4.68129 4.92732 -0.000246027
 6.900 4.70611 4.92499 -0.000218882
 6.910 4.73209 4.92294 -0.000190854
 6.920 4.75912 4.92118 -0.000162052
 6.930 4.78711 4.9197 -0.000132591
 6.940 4.81594 4.91853 -0.000102588
 6.950 4.84549 4.91765 -7.21597e-05
 6.960 4.87566 4.91708 -4.1428e-05
 6.970 4.90631 4.91682 -1.05139e-05
 6.980 4.93733 4.91687 2.04604e-05
 6.990 4.9686 4.91723 5.13725e-05
 7.000 5 4.9179 8.21002e-05
 7.010 5.0314 4.91887 0.000112522
 7.020 5.06267 4.92015 0.000142518
 7.030 5.09369 4.92172 0.000171969
 7.040 5.12434 4.92359 0.000200759
 7.050 5.15451 4.92573 0.000228774
 7.060 5.18406 4.92816 0.000255904
 7.070 5.21289 4.93085 0.000282041
 7.080 5.24088 4.9338 0.000307081
 7.090 5.26791 4.93699 0.000330927
 7.100 5.29389 4.94041 0.000353483
 7.110 5.31871 4.94405 0.00037466
 7.120 5.34227 4.9479 0.000394375
 7.130 5.36448 4.95193 0.00041255
 7.140 5.38526 4.95614 0.000429113
 7.150 5.40451 4.96051 0.000443998
 7.160 5.42216 4.96502 0.000457146
 7.170 5.43815 4.96965 0.000468506
 7.180 5.45241 4.97438 0.000478031
 7.190 5.46489 4.9792 0.000485686
 7.200 5.47553 4.98409 0.000491439
 7.210 5.48429 4.98902 0.000495267
 7.220 5.49114 4.99399 0.000497155
 7.230 5.49606 4.99896 0.000497096
 7.240 5.49901 5.00392 0.00049509
 7.250 5.5 5.00886 0.000491143
 7.260 5.49901 5.01374 0.000485273
 7.270 5.49606 5.01856 0.000477502
 7.280 5.49114 5.02328 0.00046786
 7.290 5.48429 5.02791 0.000456385
 7.300 5.47553 5.03241 0.000443123
 7.310 5.46489 5.03676 0.000428125
 7.320 5.45241 5.04096 0.000411451
 7.330 5.43815 5.04499 0.000393166
 7.340 5.42216 5.04882 0.000373343
 7.350 5.40451 5.05245 0.000352059
 7.360 5.38526 5.05586 0.000329399
 7.370 5.36448 5.05903 0.000305452
 7.380 5.34227 5.06196 0.000280311
 7.390 5.31871 5.06464 0.000254077
 7.400 5.29389 5.06704 0.000226852
 7.410 5.26791 5.06917 0.000198744
 7.420 5.24088 5.07101 0.000169864
 7.430 5.21289 5.07256 0.000140325
 7.440 5.18406 5.07382 0.000110245
 7.450 5.15451 5.07477 7.97406e-05
 7.460 5.12434 5.07541 4.89334e-05
 7.470 5.09369 5.07575 1.79446e-05
 7.480 5.06267 5.07577 -1.31036e-05
 7.490 5.0314 5.07548 -4.40889e-05
 7.500 5 5.07489 -7.48891e-05
 7.510 4.9686 5.07399 -0.000105383
 7.520 4.93733 5.07278 -0.000135449
 7.530 4.90631 5.07128 -0.000164971
 7.540 4.87566 5.06949 -0.000193831
 7.550 4.84549 5.06741 -0.000221915
 7.560 4.81594 5.06505 -0.000249113
 7.570 4.78711 5.06243 -0.000275317
 7.580 4.75912 5.05955 -0.000300424
 7.590 4.73209 5.05642 -0.000324336
 7.600 4.70611 5.05307 -0.000346958
 7.610 4.68129 5.04949 -0.0003682
 7.620 4.65773 5.04571 -0.00038798
 7.630 4.63552 5.04173 -0.000406218
 7.640 4.61474 5.03759 -0.000422844
 7.650 4.59549 5.03328 -0.000437791
 7.660 4.57784 5.02884 -0.000451001
 7.670 4.56185 5.02427 -0.000462422
 7.680 4.54759 5.01959 -0.000472008
 7.690 4.53511 5.01483 -0.000479723
 7.700 4.52447 5.01001 -0.000485535
 7.710 4.51571 5.00513 -0.000489422
 7.720 4.50886 5.00022 -0.000491368
 7.730 4.50394 4.99531 -0.000491367
 7.740 4.50099 4.9904 -0.000489417
 7.750 4.5 4.98553 -0.000485527
 7.760 4.50099 4.9807 -0.000479713
 7.770 4.50394 4.97594 -0.000471997
 7.780 4.50886 4.97127 -0.00046241
 7.790 4.51571 4.9667 -0.000450989
 7.800 4.52447 4.96225 -0.00043778
 7.810 4.53511 4.95795 -0.000422836
 7.820 4.54759 4.9538 -0.000406215
 7.830 4.56185 4.94983 -0.000387982
 7.840 4.57784 4.94605 -0.00036821
 7.850 4.59549 4.94247 -0.000346978
 7.860 4.61474 4.93911 -0.000324368
 7.870 4.63552 4.93599 -0.000300471
 7.880 4.65773 4.93311 -0.00027538
 7.890 4.68129 4.93048 -0.000249194
 7.900 4.70611 4.92813 -0.000222018
 7.910 4.73209 4.92604 -0.000193958
 7.920 4.75912 4.92425 -0.000165126
 7.930 4.78711 4.92274 -0.000135634
 7.940 4.81594 4.92154 -0.0001056
 7.950 4.84549 4.92063 -7.51425e-05
 7.960 4.87566 4.92004 -4.43812e-05
 7.970 4.90631 4.91975 -1.34377e-05
 7.980 4.93733 4.91977 1.75657e-05
 7.990 4.9686 4.9201 4.85066e-05
 8.000 5 4.92074 7.92628e-05
