# Lorenz equation output (maxtime=30) 
# Time x1 x2 
  6.76 -5.1188 -2.9723 25.69
  6.77 -4.9117 -2.9173 25.328
  6.78 -4.72 -2.8812 24.964
  6.79 -4.544 -2.8625 24.601
  6.80 -4.3837 -2.8597 24.241
  6.81 -4.2392 -2.8715 23.883
  6.82 -4.1101 -2.8966 23.529
  6.83 -3.9964 -2.9341 23.18
  6.84 -3.8976 -2.9831 22.837
  6.85 -3.8133 -3.0429 22.499
  6.86 -3.7433 -3.1128 22.169
  6.87 -3.6871 -3.1924 21.846
  6.88 -3.6443 -3.2814 21.531
  6.89 -3.6144 -3.3796 21.224
  6.90 -3.5972 -3.4868 20.926
  6.91 -3.5922 -3.603 20.638
  6.92 -3.5992 -3.7281 20.36
  6.93 -3.6179 -3.8625 20.092
  6.94 -3.6481 -4.0061 19.836
  6.95 -3.6895 -4.1592 19.591
  6.96 -3.742 -4.3221 19.359
  6.97 -3.8055 -4.495 19.141
  6.98 -3.8799 -4.6782 18.936
  6.99 -3.9651 -4.8721 18.746
  7.00 -4.0613 -5.0768 18.573
  7.01 -4.1682 -5.2927 18.416
  7.02 -4.2862 -5.5199 18.278
  7.03 -4.415 -5.7586 18.159
  7.04 -4.5549 -6.0088 18.06
  7.05 -4.7058 -6.2705 17.984
  7.06 -4.8678 -6.5436 17.932
  7.07 -5.041 -6.8277 17.905
  7.08 -5.2251 -7.1222 17.905
  7.09 -5.4203 -7.4264 17.933
  7.10 -5.6263 -7.7393 17.993
  7.11 -5.8428 -8.0596 18.085
  7.12 -6.0695 -8.3856 18.212
  7.13 -6.3058 -8.7151 18.375
  7.14 -6.5511 -9.0459 18.577
  7.15 -6.8045 -9.3748 18.818
  7.16 -7.0648 -9.6985 19.1
  7.17 -7.3307 -10.013 19.424
  7.18 -7.6007 -10.314 19.791
  7.19 -7.8727 -10.597 20.2
  7.20 -8.1447 -10.856 20.651
  7.21 -8.4141 -11.086 21.142
  7.22 -8.6782 -11.282 21.67
  7.23 -8.9338 -11.437 22.232
  7.24 -9.1776 -11.546 22.823
  7.25 -9.4062 -11.604 23.436
  7.26 -9.6159 -11.607 24.066
  7.27 -9.8031 -11.55 24.703
  7.28 -9.9642 -11.433 25.339
  7.29 -10.096 -11.254 25.965
  7.30 -10.195 -11.014 26.57
  7.31 -10.259 -10.715 27.144
  7.32 -10.286 -10.361 27.679
  7.33 -10.274 -9.9587 28.166
  7.34 -10.222 -9.5142 28.597
  7.35 -10.132 -9.036 28.965
  7.36 -10.004 -8.533 29.268
  7.37 -9.8388 -8.0146 29.501
  7.38 -9.6398 -7.4901 29.665
  7.39 -9.4099 -6.9683 29.759
  7.40 -9.1528 -6.4576 29.787
  7.41 -8.8723 -5.9651 29.751
  7.42 -8.5728 -5.497 29.657
  7.43 -8.2586 -5.0581 29.509
  7.44 -7.9341 -4.652 29.314
  7.45 -7.6036 -4.2811 29.077
  7.46 -7.2709 -3.9467 28.804
  7.47 -6.9399 -3.649 28.501
  7.48 -6.6138 -3.3875 28.172
  7.49 -6.2955 -3.1612 27.823
  7.50 -5.9877 -2.9682 27.459
  7.51 -5.6923 -2.8067 27.082
  7.52 -5.4111 -2.6743 26.696
  7.53 -5.1453 -2.5689 26.304
  7.54 -4.896 -2.488 25.909
  7.55 -4.6639 -2.4294 25.512
  7.56 -4.4492 -2.391 25.115
  7.57 -4.2522 -2.3707 24.721
  7.58 -4.0729 -2.3667 24.329
  7.59 -3.9109 -2.3775 23.94
  7.60 -3.7661 -2.4016 23.557
  7.61 -3.6379 -2.4378 23.179
  7.62 -3.5259 -2.485 22.808
  7.63 -3.4295 -2.5425 22.442
  7.64 -3.3483 -2.6094 22.084
  7.65 -3.2816 -2.6854 21.734
  7.66 -3.2289 -2.77 21.391
  7.67 -3.1896 -2.8629 21.057
  7.68 -3.1634 -2.9642 20.732
  7.69 -3.1496 -3.0737 20.416
  7.70 -3.1481 -3.1915 20.109
  7.71 -3.1582 -3.3179 19.812
  7.72 -3.1799 -3.4529 19.526
  7.73 -3.2128 -3.597 19.251
  7.74 -3.2567 -3.7505 18.988
  7.75 -3.3115 -3.9138 18.736
  7.76 -3.3771 -4.0873 18.498
  7.77 -3.4535 -4.2714 18.273
  7.78 -3.5407 -4.4667 18.062
  7.79 -3.6387 -4.6735 17.867
  7.80 -3.7477 -4.8925 17.688
  7.81 -3.8677 -5.1239 17.526
  7.82 -3.999 -5.3682 17.384
  7.83 -4.1416 -5.6258 17.261
  7.84 -4.2959 -5.8968 17.16
  7.85 -4.4619 -6.1815 17.082
  7.86 -4.6399 -6.4798 17.029
  7.87 -4.8299 -6.7916 17.002
  7.88 -5.0322 -7.1164 17.005
  7.89 -5.2468 -7.4536 17.039
  7.90 -5.4736 -7.8023 17.107
  7.91 -5.7124 -8.1611 17.21
  7.92 -5.9632 -8.5284 17.351
  7.93 -6.2253 -8.902 17.534
  7.94 -6.4983 -9.279 17.759
  7.95 -6.7811 -9.6562 18.03
  7.96 -7.0729 -10.03 18.348
  7.97 -7.372 -10.395 18.715
  7.98 -7.6768 -10.747 19.132
  7.99 -7.9852 -11.079 19.6
  8.00 -8.2946 -11.385 20.117
  8.01 -8.6023 -11.659 20.683
  8.02 -8.9048 -11.892 21.295
  8.03 -9.1985 -12.078 21.948
  8.04 -9.4793 -12.21 22.637
  8.05 -9.7431 -12.28 23.355
  8.06 -9.9852 -12.283 24.092
  8.07 -10.201 -12.214 24.84
  8.08 -10.386 -12.071 25.587
  8.09 -10.537 -11.851 26.32
  8.10 -10.648 -11.556 27.027
  8.11 -10.717 -11.19 27.696
  8.12 -10.742 -10.757 28.314
  8.13 -10.72 -10.265 28.871
  8.14 -10.651 -9.725 29.357
  8.15 -10.535 -9.1465 29.766
  8.16 -10.374 -8.5419 30.093
  8.17 -10.17 -7.9232 30.334
  8.18 -9.9257 -7.3024 30.491
  8.19 -9.6464 -6.6906 30.565
  8.20 -9.3362 -6.0979 30.561
  8.21 -9.0005 -5.5329 30.484
  8.22 -8.6445 -5.0022 30.34
  8.23 -8.2738 -4.511 30.137
  8.24 -7.8937 -4.0627 29.883
  8.25 -7.5093 -3.6591 29.586
  8.26 -7.1252 -3.3007 29.252
  8.27 -6.7457 -2.9868 28.888
  8.28 -6.3746 -2.7158 28.501
  8.29 -6.0149 -2.4853 28.096
  8.30 -5.6694 -2.2926 27.678
  8.31 -5.3402 -2.1347 27.25
  8.32 -5.0288 -2.0085 26.817
  8.33 -4.7364 -1.9108 26.38
  8.34 -4.4639 -1.8385 25.943
  8.35 -4.2114 -1.7889 25.507
  8.36 -3.9793 -1.7592 25.074
  8.37 -3.7673 -1.747 24.645
  8.38 -3.5751 -1.7503 24.22
  8.39 -3.4022 -1.7672 23.801
  8.40 -3.2479 -1.7961 23.389
  8.41 -3.1116 -1.8355 22.983
  8.42 -2.9924 -1.8846 22.584
  8.43 -2.8897 -1.9422 22.192
  8.44 -2.8027 -2.0078 21.808
  8.45 -2.7305 -2.0808 21.432
  8.46 -2.6725 -2.1609 21.065
  8.47 -2.628 -2.2479 20.705
  8.48 -2.5963 -2.3417 20.355
  8.49 -2.5769 -2.4423 20.013
  8.50 -2.5692 -2.5499 19.68
  8.51 -2.5729 -2.6647 19.357
  8.52 -2.5875 -2.7871 19.043
  8.53 -2.6127 -2.9174 18.739
  8.54 -2.6483 -3.0561 18.446
  8.55 -2.6942 -3.2036 18.164
  8.56 -2.7502 -3.3605 17.892
  8.57 -2.8163 -3.5275 17.633
  8.58 -2.8925 -3.7052 17.386
  8.59 -2.9788 -3.8941 17.152
  8.60 -3.0756 -4.0951 16.932
  8.61 -3.1828 -4.3087 16.727
  8.62 -3.3008 -4.5357 16.538
  8.63 -3.4299 -4.7769 16.365
  8.64 -3.5703 -5.0327 16.211
  8.65 -3.7225 -5.304 16.077
  8.66 -3.8868 -5.5912 15.964
  8.67 -4.0635 -5.8947 15.874
  8.68 -4.2531 -6.2151 15.808
  8.69 -4.456 -6.5523 15.771
  8.70 -4.6725 -6.9065 15.762
  8.71 -4.9029 -7.2773 15.786
  8.72 -5.1475 -7.6642 15.846
  8.73 -5.4063 -8.0661 15.943
  8.74 -5.6794 -8.4816 16.081
  8.75 -5.9666 -8.9088 16.264
  8.76 -6.2677 -9.3449 16.495
  8.77 -6.5818 -9.7868 16.777
  8.78 -6.9083 -10.23 17.113
  8.79 -7.2457 -10.67 17.507
  8.80 -7.5925 -11.101 17.96
  8.81 -7.9466 -11.515 18.474
  8.82 -8.3052 -11.905 19.051
  8.83 -8.6653 -12.262 19.689
  8.84 -9.0232 -12.577 20.387
  8.85 -9.3745 -12.839 21.142
  8.86 -9.7144 -13.04 21.947
  8.87 -10.038 -13.169 22.794
  8.88 -10.339 -13.216 23.675
  8.89 -10.611 -13.176 24.576
  8.90 -10.85 -13.041 25.483
  8.91 -11.048 -12.81 26.381
  8.92 -11.2 -12.481 27.253
  8.93 -11.302 -12.057 28.081
  8.94 -11.35 -11.546 28.849
  8.95 -11.341 -10.956 29.543
  8.96 -11.273 -10.301 30.149
  8.97 -11.147 -9.5945 30.657
  8.98 -10.963 -8.8534 31.06
  8.99 -10.726 -8.0943 31.355
  9.00 -10.439 -7.3336 31.543
  9.01 -10.107 -6.5865 31.626
  9.02 -9.7367 -5.8666 31.611
  9.03 -9.3351 -5.185 31.507
  9.04 -8.9091 -4.5505 31.323
  9.05 -8.4657 -3.9691 31.068
  9.06 -8.012 -3.4445 30.755
  9.07 -7.5543 -2.9781 30.394
  9.08 -7.0986 -2.5696 29.993
  9.09 -6.6501 -2.2171 29.561
  9.10 -6.2134 -1.9174 29.107
  9.11 -5.7921 -1.6669 28.637
  9.12 -5.3892 -1.4613 28.157
  9.13 -5.0071 -1.2959 27.67
  9.14 -4.6474 -1.1665 27.181
  9.15 -4.3112 -1.0685 26.692
  9.16 -3.999 -0.99789 26.206
  9.17 -3.711 -0.95088 25.724
  9.18 -3.4469 -0.92406 25.248
  9.19 -3.2062 -0.91437 24.778
  9.20 -2.9882 -0.91918 24.316
  9.21 -2.7921 -0.93619 23.861
  9.22 -2.6167 -0.96349 23.413
  9.23 -2.461 -0.99947 22.974
  9.24 -2.324 -1.0428 22.544
  9.25 -2.2044 -1.0925 22.121
  9.26 -2.1012 -1.1477 21.707
  9.27 -2.0134 -1.2077 21.301
  9.28 -1.9398 -1.2723 20.904
  9.29 -1.8796 -1.3412 20.514
  9.30 -1.8318 -1.4141 20.133
  9.31 -1.7958 -1.4912 19.761
  9.32 -1.7707 -1.5725 19.397
  9.33 -1.7559 -1.6583 19.041
  9.34 -1.751 -1.7487 18.693
  9.35 -1.7554 -1.8443 18.354
  9.36 -1.7687 -1.9453 18.024
  9.37 -1.7906 -2.0523 17.702
  9.38 -1.8209 -2.1658 17.389
  9.39 -1.8595 -2.2864 17.086
  9.40 -1.9063 -2.4146 16.791
  9.41 -1.9612 -2.5513 16.506
  9.42 -2.0243 -2.697 16.231
  9.43 -2.0958 -2.8526 15.966
  9.44 -2.1758 -3.0189 15.712
  9.45 -2.2645 -3.1967 15.469
  9.46 -2.3623 -3.3869 15.238
  9.47 -2.4696 -3.5905 15.02
  9.48 -2.5867 -3.8084 14.815
  9.49 -2.7141 -4.0416 14.625
  9.50 -2.8523 -4.2911 14.45
  9.51 -3.002 -4.5579 14.292
  9.52 -3.1637 -4.8432 14.152
  9.53 -3.3381 -5.1478 14.033
  9.54 -3.5259 -5.4727 13.935
  9.55 -3.7277 -5.8188 13.862
  9.56 -3.9444 -6.1869 13.816
  9.57 -4.1765 -6.5776 13.799
  9.58 -4.4248 -6.9911 13.814
  9.59 -4.6899 -7.4276 13.866
  9.60 -4.9725 -7.8867 13.958
  9.61 -5.2729 -8.3676 14.093
  9.62 -5.5915 -8.869 14.278
  9.63 -5.9284 -9.3885 14.516
  9.64 -6.2834 -9.9231 14.812
  9.65 -6.6561 -10.469 15.172
  9.66 -7.0456 -11.02 15.601
  9.67 -7.4505 -11.57 16.102
  9.68 -7.8688 -12.111 16.682
  9.69 -8.298 -12.634 17.342
  9.70 -8.7347 -13.126 18.085
  9.71 -9.1747 -13.575 18.911
  9.72 -9.6128 -13.967 19.818
  9.73 -10.043 -14.286 20.802
  9.74 -10.459 -14.519 21.853
  9.75 -10.853 -14.65 22.96
  9.76 -11.216 -14.665 24.108
  9.77 -11.539 -14.553 25.278
  9.78 -11.815 -14.308 26.448
  9.79 -12.035 -13.925 27.593
  9.80 -12.191 -13.406 28.687
  9.81 -12.276 -12.761 29.706
  9.82 -12.287 -12.001 30.625
  9.83 -12.219 -11.146 31.424
  9.84 -12.072 -10.216 32.087
  9.85 -11.849 -9.2386 32.605
  9.86 -11.552 -8.2381 32.972
  9.87 -11.188 -7.2402 33.191
  9.88 -10.765 -6.2678 33.267
  9.89 -10.292 -5.3408 33.214
  9.90 -9.7782 -4.4748 33.043
  9.91 -9.2346 -3.6813 32.773
  9.92 -8.6709 -2.9674 32.418
  9.93 -8.097 -2.336 31.996
  9.94 -7.5215 -1.7872 31.521
  9.95 -6.9525 -1.318 31.008
  9.96 -6.3967 -0.92355 30.468
  9.97 -5.8596 -0.59778 29.91
  9.98 -5.3456 -0.33377 29.344
  9.99 -4.8581 -0.1243 28.774
 10.00 -4.3995 0.037765 28.206
 10.01 -3.971 0.15926 27.644
 10.02 -3.5735 0.24656 27.088
 10.03 -3.2069 0.30542 26.543
 10.04 -2.8708 0.34101 26.007
 10.05 -2.5642 0.35785 25.483
 10.06 -2.2859 0.35983 24.97
 10.07 -2.0345 0.35029 24.468
 10.08 -1.8084 0.33202 23.977
 10.09 -1.6059 0.30734 23.497
 10.10 -1.4252 0.27815 23.027
 10.11 -1.2646 0.24599 22.567
 10.12 -1.1225 0.21206 22.118
 10.13 -0.99719 0.17732 21.678
 10.14 -0.88711 0.14247 21.247
 10.15 -0.7908 0.10803 20.825
 10.16 -0.7069 0.074378 20.412
 10.17 -0.63414 0.041743 20.008
 10.18 -0.57136 0.010256 19.611
 10.19 -0.51748 -0.020035 19.223
 10.20 -0.47156 -0.049148 18.843
 10.21 -0.43273 -0.077154 18.47
 10.22 -0.4002 -0.10416 18.104
 10.23 -0.3733 -0.13031 17.746
 10.24 -0.35142 -0.15577 17.396
 10.25 -0.33401 -0.18071 17.052
 10.26 -0.32061 -0.20532 16.715
 10.27 -0.31082 -0.22979 16.384
 10.28 -0.3043 -0.25435 16.061
 10.29 -0.30074 -0.27918 15.743
 10.30 -0.29991 -0.30451 15.433
 10.31 -0.3016 -0.33055 15.128
 10.32 -0.30565 -0.35752 14.829
 10.33 -0.31194 -0.38565 14.537
 10.34 -0.32037 -0.41517 14.25
 10.35 -0.33088 -0.44631 13.97
 10.36 -0.34345 -0.47932 13.694
 10.37 -0.35806 -0.51447 13.425
 10.38 -0.37474 -0.55202 13.161
 10.39 -0.39354 -0.59226 12.903
 10.40 -0.41451 -0.63549 12.65
 10.41 -0.43777 -0.68205 12.402
 10.42 -0.46341 -0.73227 12.159
 10.43 -0.49159 -0.78654 11.922
 10.44 -0.52246 -0.84526 11.69
 10.45 -0.55621 -0.90886 11.464
 10.46 -0.59307 -0.97783 11.242
 10.47 -0.63325 -1.0527 11.025
 10.48 -0.67704 -1.134 10.814
 10.49 -0.72474 -1.2223 10.608
 10.50 -0.77667 -1.3183 10.408
 10.51 -0.8332 -1.4228 10.212
 10.52 -0.89474 -1.5366 10.023
 10.53 -0.96173 -1.6604 9.8391
 10.54 -1.0347 -1.7953 9.6614
 10.55 -1.114 -1.9423 9.4899
 10.56 -1.2005 -2.1024 9.3252
 10.57 -1.2947 -2.277 9.1676
 10.58 -1.3972 -2.4673 9.0176
 10.59 -1.5089 -2.6748 8.8761
 10.60 -1.6307 -2.901 8.7436
 10.61 -1.7633 -3.1475 8.6213
 10.62 -1.9079 -3.4162 8.5102
 10.63 -2.0654 -3.7091 8.4117
 10.64 -2.237 -4.028 8.3275
 10.65 -2.424 -4.3751 8.2595
 10.66 -2.6277 -4.7528 8.2101
 10.67 -2.8495 -5.1632 8.1819
 10.68 -3.0909 -5.6088 8.1782
 10.69 -3.3536 -6.0917 8.2029
 10.70 -3.6391 -6.6143 8.2603
 10.71 -3.9492 -7.1784 8.3557
 10.72 -4.2855 -7.7858 8.4952
 10.73 -4.6498 -8.4376 8.6857
 10.74 -5.0436 -9.1342 8.9353
 10.75 -5.4684 -9.875 9.2529
 10.76 -5.9253 -10.658 9.6487
 10.77 -6.4151 -11.479 10.134
 10.78 -6.9381 -12.333 10.72
 10.79 -7.4938 -13.211 11.421
 10.80 -8.0808 -14.1 12.248
 10.81 -8.6965 -14.984 13.213
 10.82 -9.3366 -15.842 14.328
 10.83 -9.9953 -16.65 15.601
 10.84 -10.665 -17.378 17.033
 10.85 -11.334 -17.99 18.624
 10.86 -11.991 -18.451 20.361
 10.87 -12.621 -18.721 22.225
 10.88 -13.205 -18.765 24.185
 10.89 -13.726 -18.552 26.198
 10.90 -14.164 -18.06 28.211
 10.91 -14.499 -17.281 30.164
 10.92 -14.715 -16.222 31.994
 10.93 -14.797 -14.909 33.639
 10.94 -14.735 -13.384 35.045
 10.95 -14.526 -11.702 36.171
 10.96 -14.172 -9.9268 36.993
 10.97 -13.681 -8.126 37.506
 10.98 -13.066 -6.3623 37.723
 10.99 -12.347 -4.6902 37.671
 11.00 -11.542 -3.1515 37.388
 11.01 -10.676 -1.7745 36.918
 11.02 -9.7693 -0.57419 36.305
 11.03 -8.8434 0.44642 35.591
 11.04 -7.9171 1.2934 34.814
 11.05 -7.0062 1.9795 34.003
 11.06 -6.1238 2.5214 33.183
 11.07 -5.2801 2.9376 32.372
 11.08 -4.4823 3.2473 31.581
 11.09 -3.7354 3.4685 30.819
 11.10 -3.0421 3.6179 30.09
 11.11 -2.4034 3.7105 29.396
 11.12 -1.819 3.759 28.736
 11.13 -1.2872 3.7746 28.109
 11.14 -0.80574 3.7664 27.513
 11.15 -0.37173 3.742 26.947
 11.16 0.018153 3.7079 26.407
 11.17 0.36741 3.6689 25.891
 11.18 0.67966 3.6291 25.398
 11.19 0.9585 3.5918 24.924
 11.20 1.2075 3.5595 24.469
 11.21 1.43 3.534 24.031
 11.22 1.6293 3.5169 23.608
 11.23 1.8085 3.5094 23.201
 11.24 1.9704 3.5121 22.807
 11.25 2.1177 3.5257 22.427
 11.26 2.2528 3.5507 22.059
 11.27 2.378 3.5873 21.704
 11.28 2.4953 3.6357 21.362
 11.29 2.6067 3.6962 21.031
 11.30 2.7138 3.7687 20.713
 11.31 2.8182 3.8535 20.407
 11.32 2.9213 3.9506 20.114
 11.33 3.0244 4.06 19.834
 11.34 3.1288 4.1819 19.566
 11.35 3.2354 4.3164 19.313
 11.36 3.3453 4.4636 19.073
 11.37 3.4594 4.6237 18.849
 11.38 3.5784 4.7968 18.64
 11.39 3.7033 4.983 18.447
 11.40 3.8346 5.1825 18.271
 11.41 3.9731 5.3954 18.114
 11.42 4.1193 5.6218 17.976
 11.43 4.2738 5.8617 17.858
 11.44 4.437 6.115 17.763
 11.45 4.6095 6.3815 17.691
 11.46 4.7915 6.6611 17.644
 11.47 4.9835 6.9531 17.624
 11.48 5.1855 7.2569 17.633
 11.49 5.3978 7.5716 17.672
 11.50 5.6203 7.8961 17.744
 11.51 5.8529 8.2288 17.851
 11.52 6.0953 8.5677 17.994
 11.53 6.3472 8.9106 18.176
 11.54 6.6078 9.2548 18.399
 11.55 6.8762 9.5968 18.664
 11.56 7.1515 9.9329 18.972
 11.57 7.432 10.259 19.326
 11.58 7.7162 10.569 19.724
 11.59 8.0019 10.86 20.168
 11.60 8.2869 11.124 20.655
 11.61 8.5683 11.355 21.184
 11.62 8.8432 11.548 21.752
 11.63 9.1082 11.697 22.355
 11.64 9.3597 11.794 22.987
 11.65 9.5938 11.836 23.641
 11.66 9.8068 11.817 24.309
 11.67 9.9946 11.734 24.983
 11.68 10.153 11.585 25.652
 11.69 10.28 11.37 26.306
 11.70 10.371 11.09 26.934
 11.71 10.423 10.749 27.525
 11.72 10.435 10.351 28.07
 11.73 10.406 9.9035 28.56
 11.74 10.335 9.4148 28.987
 11.75 10.222 8.8944 29.345
 11.76 10.07 8.3521 29.631
 11.77 9.8796 7.7982 29.842
 11.78 9.6546 7.2427 29.978
 11.79 9.3985 6.6951 30.042
 11.80 9.1154 6.1637 30.036
 11.81 8.8097 5.6559 29.966
 11.82 8.4862 5.1774 29.836
 11.83 8.1495 4.7328 29.653
 11.84 7.8043 4.3251 29.423
 11.85 7.4551 3.9562 29.153
 11.86 7.1059 3.6268 28.849
 11.87 6.7605 3.3364 28.517
 11.88 6.4221 3.0841 28.161
 11.89 6.0937 2.868 27.788
 11.90 5.7777 2.6862 27.401
 11.91 5.476 2.5361 27.003
 11.92 5.1902 2.4152 26.599
 11.93 4.9213 2.3209 26.191
 11.94 4.6703 2.2507 25.781
 11.95 4.4375 2.2022 25.371
 11.96 4.2232 2.173 24.962
 11.97 4.0274 2.1613 24.556
 11.98 3.8499 2.165 24.154
 11.99 3.6903 2.1826 23.757
 12.00 3.5482 2.2127 23.365
 12.01 3.423 2.254 22.979
 12.02 3.3142 2.3056 22.6
 12.03 3.2211 2.3667 22.228
 12.04 3.1431 2.4366 21.864
 12.05 3.0796 2.515 21.507
 12.06 3.03 2.6014 21.159
 12.07 2.9937 2.6957 20.819
 12.08 2.9702 2.7978 20.487
 12.09 2.9591 2.9079 20.165
 12.10 2.9598 3.0259 19.853
 12.11 2.9722 3.1521 19.551
 12.12 2.9957 3.2869 19.258
 12.13 3.0303 3.4305 18.977
 12.14 3.0757 3.5834 18.707
 12.15 3.1318 3.7461 18.45
 12.16 3.1986 3.919 18.204
 12.17 3.2759 4.1026 17.972
 12.18 3.3639 4.2975 17.755
 12.19 3.4627 4.5043 17.552
 12.20 3.5723 4.7234 17.365
 12.21 3.693 4.9555 17.195
 12.22 3.8249 5.201 17.043
 12.23 3.9683 5.4603 16.912
 12.24 4.1234 5.7338 16.801
 12.25 4.2904 6.0218 16.713
 12.26 4.4697 6.3245 16.65
 12.27 4.6615 6.6418 16.613
 12.28 4.8659 6.9735 16.605
 12.29 5.083 7.3191 16.628
 12.30 5.3131 7.6779 16.685
 12.31 5.556 8.0487 16.778
 12.32 5.8115 8.43 16.909
 12.33 6.0795 8.8197 17.082
 12.34 6.3594 9.2154 17.299
 12.35 6.6504 9.6137 17.563
 12.36 6.9517 10.011 17.876
 12.37 7.2618 10.402 18.24
 12.38 7.5792 10.783 18.658
 12.39 7.9018 11.146 19.129
 12.40 8.2271 11.485 19.654
 12.41 8.5524 11.793 20.232
 12.42 8.8741 12.062 20.861
 12.43 9.1887 12.284 21.537
 12.44 9.4917 12.45 22.255
 12.45 9.7788 12.554 23.008
 12.46 10.045 12.587 23.786
 12.47 10.286 12.544 24.581
 12.48 10.495 12.421 25.379
 12.49 10.669 12.216 26.169
 12.50 10.803 11.928 26.935
 12.51 10.893 11.56 27.664
 12.52 10.936 11.119 28.342
 12.53 10.929 10.61 28.958
 12.54 10.872 10.045 29.5
 12.55 10.764 9.4349 29.959
 12.56 10.606 8.793 30.331
 12.57 10.402 8.1327 30.611
 12.58 10.154 7.4674 30.799
 12.59 9.8663 6.8098 30.896
 12.60 9.5444 6.1712 30.908
 12.61 9.1936 5.5615 30.84
 12.62 8.8199 4.9884 30.7
 12.63 8.4293 4.4579 30.495
 12.64 8.0276 3.9739 30.235
 12.65 7.6204 3.5384 29.927
 12.66 7.2128 3.1522 29.579
 12.67 6.8097 2.8143 29.201
 12.68 6.415 2.5231 28.797
 12.69 6.0324 2.2758 28.374
 12.70 5.6646 2.0694 27.938
 12.71 5.314 1.9004 27.492
 12.72 4.9824 1.7653 27.041
 12.73 4.6709 1.6605 26.588
 12.74 4.3805 1.5826 26.134
 12.75 4.1114 1.5285 25.682
 12.76 3.8639 1.4951 25.233
 12.77 3.6376 1.4798 24.788
 12.78 3.4321 1.4802 24.349
 12.79 3.2469 1.4942 23.916
 12.80 3.0813 1.5201 23.49
 12.81 2.9344 1.5564 23.07
 12.82 2.8054 1.6019 22.658
 12.83 2.6934 1.6555 22.254
 12.84 2.5976 1.7165 21.857
 12.85 2.5169 1.7843 21.469
 12.86 2.4508 1.8585 21.088
 12.87 2.3982 1.9388 20.716
 12.88 2.3586 2.0251 20.353
 12.89 2.3313 2.1175 19.998
 12.90 2.3157 2.2161 19.652
 12.91 2.3112 2.321 19.314
 12.92 2.3175 2.4326 18.986
 12.93 2.3341 2.5512 18.668
 12.94 2.3608 2.6773 18.359
 12.95 2.3974 2.8114 18.06
 12.96 2.4436 2.954 17.771
 12.97 2.4994 3.1058 17.494
 12.98 2.5649 3.2674 17.227
 12.99 2.64 3.4394 16.972
 13.00 2.7248 3.6227 16.73
 13.01 2.8196 3.8179 16.501
 13.02 2.9246 4.0259 16.286
 13.03 3.04 4.2474 16.085
 13.04 3.1662 4.4832 15.901
 13.05 3.3035 4.7342 15.734
 13.06 3.4524 5.001 15.585
 13.07 3.6134 5.2845 15.456
 13.08 3.7868 5.5853 15.349
 13.09 3.9732 5.9039 15.266
 13.10 4.1731 6.2409 15.208
 13.11 4.3869 6.5964 15.179
 13.12 4.6152 6.9706 15.181
 13.13 4.8582 7.3632 15.216
 13.14 5.1163 7.7737 15.289
 13.15 5.3897 8.201 15.401
 13.16 5.6785 8.6437 15.558
 13.17 5.9827 9.0997 15.762
 13.18 6.3018 9.566 16.017
 13.19 6.6353 10.039 16.328
 13.20 6.9822 10.514 16.698
 13.21 7.3412 10.986 17.13
 13.22 7.7105 11.448 17.626
 13.23 8.0878 11.891 18.19
 13.24 8.4702 12.308 18.822
 13.25 8.8541 12.688 19.522
 13.26 9.2355 13.021 20.287
 13.27 9.6095 13.295 21.114
 13.28 9.9706 13.498 21.995
 13.29 10.313 13.62 22.922
 13.30 10.63 13.651 23.883
 13.31 10.915 13.582 24.864
 13.32 11.161 13.408 25.848
 13.33 11.362 13.124 26.817
 13.34 11.512 12.733 27.751
 13.35 11.605 12.238 28.632
 13.36 11.637 11.649 29.44
 13.37 11.606 10.977 30.16
 13.38 11.511 10.237 30.778
 13.39 11.352 9.4478 31.283
 13.40 11.131 8.6279 31.67
 13.41 10.853 7.7966 31.937
 13.42 10.522 6.9721 32.087
 13.43 10.145 6.171 32.124
 13.44 9.7298 5.4075 32.057
 13.45 9.2835 4.6928 31.897
 13.46 8.8143 4.0352 31.656
 13.47 8.3302 3.4399 31.347
 13.48 7.8387 2.9095 30.98
 13.49 7.3466 2.444 30.567
 13.50 6.8601 2.0417 30.119
 13.51 6.3845 1.6995 29.645
 13.52 5.9244 1.413 29.153
 13.53 5.4833 1.1775 28.649
 13.54 5.064 0.98761 28.138
 13.55 4.6686 0.8382 27.624
 13.56 4.2983 0.72414 27.112
 13.57 3.9539 0.64062 26.603
 13.58 3.6356 0.58317 26.099
 13.59 3.3433 0.54778 25.602
 13.60 3.0763 0.53087 25.112
 13.61 2.8339 0.52931 24.63
 13.62 2.615 0.54042 24.157
 13.63 2.4186 0.56192 23.692
 13.64 2.2433 0.59188 23.236
 13.65 2.0879 0.62874 22.789
 13.66 1.951 0.67125 22.351
 13.67 1.8315 0.7184 21.921
 13.68 1.728 0.76943 21.5
 13.69 1.6394 0.8238 21.088
 13.70 1.5645 0.88113 20.684
 13.71 1.5024 0.94119 20.288
 13.72 1.452 1.0039 19.9
 13.73 1.4125 1.0692 19.521
 13.74 1.3831 1.1373 19.15
 13.75 1.3631 1.2084 18.787
 13.76 1.3519 1.2826 18.431
 13.77 1.3491 1.3604 18.084
 13.78 1.3541 1.4422 17.745
 13.79 1.3666 1.5282 17.413
 13.80 1.3863 1.6191 17.09
 13.81 1.4131 1.7154 16.775
 13.82 1.4468 1.8175 16.467
